교과목명,학정번호,학점
데이터베이스관리,BIZ4204,3
블록체인과전략적혁신,BIZ4205,3
긍정조직학,BIZ4206,3
한국의산업및전략,BIZ4207,3
확률적재고관리모델,BIZ4208,3
사업혁신컨설팅액션프로젝트,BIZ4962,3
의학용어,BML1002,2
인체해부학,BML1003,3
미생물학,BML2004,3
병리학,BML2005,3
세포생물학,BML2006,3
세포생리학및실험,BML2009,3
조직학,BML2010,3
혈청학및실험(종합설계),BML3001,3
임상유전학,BML3002,3
임상생리학(1),BML3003,3
임상바이러스학,BML3004,3
임상기기분석학,BML3005,3
생리학,BML3006,3
임상화학및실험(1),BML3007,3
임상미생물학및실험(1),BML3008,3
혈액학,BML3010,3
생화학,BML3014,3
임상병리사임상실습(1),BML3019,3
임상병리사임상실습(2),BML3020,3
임상병리사임상실습(3),BML3021,3
의료법규,BML3024,1
정도관리학,BML3025,2
분자생물학,BML3028,3
체액진단학및실험,BML3029,3
면역혈액학및실험,BML3030,3
진단세포학및실험,BML3031,3
면역학,BML3032,3
임상병리현장실습(1),BML3033,1
임상병리현장실습(2),BML3035,1
임상병리현장실습(3),BML3036,1
임상병리현장실습(4),BML3037,1
감염병학및실험,BML3038,3
진단조직학및실험(종합설계),BML3041,3
병원감염관리학,BML3042,3
MEDICI장기현장실습,BML3043,9
법의학,BML3048,3
임상생리학(2)및실험,BML3049,3
임상미생물학및실험(2),BML3050,3
임상화학및실험(2),BML4015,3
진단혈액학및실험,BML4016,3
분자진단학,BML4017,3
학부연구(1),BML4021,2
학부연구(2),BML4022,2
학부연구(3),BML4023,2
학부연구(4),BML4024,2
공중보건학,BML4025,3
전공실기(피아노),BSP1101,3
관악기를위한오케스트라워크샵,BSP1117,1
관합주,BSP1118,1
현합주,BSP1119,1
전공실기(관현악),BSP1121,3
근현대피아노음악(1),BSP1122,2
근현대피아노음악(2),BSP1123,2
실내악(피아노),BSP2119,2
건반화성(1),BSP2201,3
건반화성(2),BSP2202,3
건반화성(3),BSP2203,3
건반화성(4),BSP2204,3
피아노부전공,BSP2207,2
피아노연주법세미나(1),BSP2208,2
실내악(현악),BSP2209,2
실내악(관악),BSP2210,2
연세심포니오케스트라,BSP2211,3
뮤직컨텐츠마케팅,BSP2212,2
피아노구조와조율,BSP2217,2
피아노문헌(1),BSP3201,3
피아노문헌(2),BSP3202,3
피아노반주법(1),BSP3203,3
피아노반주법(2),BSP3204,3
피아노문헌(3),BSP3207,3
가창(1),BSP3209,2
가창(2),BSP3210,2
관현악지휘법(1),BSP3211,2
관현악지휘법(2),BSP3212,2
스즈끼메소드(1),BSP3218,3
창작곡연주(1),BSP3222,1
창작곡연주(2),BSP3223,1
특수악기연주세미나,BSP3224,1
피아노연주법세미나(2),BSP3225,2
관악문헌,BSP3226,3
현악문헌(1),BSP3234,3
엘렉톤연주법,BSP3236,2
피아노문헌(4),BSP4201,3
오케스트라레파토리세미나(1),BSP4207,1
오케스트라레파토리세미나(2),BSP4208,1
연세필하모닉오케스트라,BSP4209,3
오페라앙상블클래스(1),BSP4218,3
오페라앙상블클래스(2),BSP4223,3
바로크음악연주법,BSP4224,3
세포생물학,BST2001,3
미생물학,BST2002,3
동물생리학,BST2003,3
분자생물학,BST2004,3
유기화학,BST2005,3
식물생리학,BST2006,3
생명과학기술의이해,BST2008,3
생물통계학,BST2010,3
생화학,BST3001,3
생물계통분류학,BST3009,3
유전학,BST3011,3
보전생물학,BST3012,3
동물발생학,BST3013,3
조직및해부학,BST3016,3
유전체정보학,BST3017,3
곤충과학,BST3018,3
식물발생유전학,BST3020,3
식물생장과분자생리,BST3021,3
진화생물학,BST3025,3
노화생물학,BST3027,3
신경과학,BST3028,3
바이러스학,BST3030,3
생식생물학,BST3105,3
식품가공학및실험,BST3106,3
식품위생학,BST3112,3
식품화학및실험,BST3113,3
건강기능식품학,BST3114,3
동물세포공학,BST3115,3
생태복원공학,BST3116,3
식품미생물학및실험,BST3117,3
동물발생공학및실험,BST3118,3
생물공학,BST3121,3
바이오소재산업학,BST3123,3
효소학및실험,BST3126,3
면역학,BST3127,3
약리독성학,BST3128,3
생명과학실험,BST3130,3
과학논리및논술,BST3135,2
생물학교재연구및지도법,BST3136,3
생명과학교육론,BST3137,3
유전공학,BST3138,3
단백질공학,BST3140,3
병원성미생물학,BST3141,3
생물리학,BST3142,3
바이오의약품,BST3143,3
행동생물학,BST3144,3
MEDICI 장기현장실습,BST3145,9
세포배양공정,BST3150,3
생태학,BST3151,3
미생물학,BST3152,3
나노생명공학,BST3153,3
생명과학특강,BST4001,1
생명과학세미나,BST4002,1
생물기기분석및실습,BST4006,3
고급생명과학실험법,BST4010,2
고급생명과학연구,BST4011,2
해부생리학실험,BST4013,2
세포및분자생물학실험,BST4015,2
식물생리및분자발생실험,BST4016,2
인턴십프로그램(1),BST4017,1
인턴십프로그램(2),BST4018,1
인턴십프로그램(3),BST4019,1
인턴십프로그램(4),BST4020,1
생명과학기술캡스톤디자인,BST4022,3
바이오신소재LTM캡스톤디자인,BST4023,3
바이오소재공학실험,BST4026,2
